Loading repository data...
Reading installed packages...
S  | Name                    | Version           | Repository                | Dependency
   | kalpa_base              | 6.0-4.1           | openSUSE-20250206-0       | 
   | kde                     | 20240311-2.3      | Main Repository (OSS)     | 
   | kde                     | 20240311-2.3      | openSUSE-20250206-0       | 
   | kde_pim                 | 20240311-2.3      | Main Repository (OSS)     | 
   | kde_pim                 | 20240311-2.3      | openSUSE-20250206-0       | 
i+ | kde_plasma              | 20240311-2.3      | Main Repository (OSS)     | 
i+ | kde_plasma              | 20240311-2.3      | openSUSE-20250206-0       | 
   | kvm_server              | 20210330-8.4      | Main Repository (OSS)     | 
   | kvm_server              | 20210330-8.4      | openSUSE-20250206-0       | 
   | kvm_tools               | 20210330-8.4      | Main Repository (OSS)     | 
   | kvm_tools               | 20210330-8.4      | openSUSE-20250206-0       | 
   | lamp_server             | 20210330-8.4      | Main Repository (OSS)     | 
   | lamp_server             | 20210330-8.4      | openSUSE-20250206-0       | 
i+ | laptop                  | 20201106-4.2      | Main Repository (OSS)     | 
i+ | laptop                  | 20201106-4.2      | openSUSE-20250206-0       | 
   | lxde                    | 20170319-3.8      | Main Repository (OSS)     | 
   | lxde                    | 20170319-3.8      | openSUSE-20250206-0       | 
   | lxqt                    | 20240611-1.2      | Main Repository (OSS)     | 
   | lxqt                    | 20240611-1.2      | openSUSE-20250206-0       | 
   | mail_server             | 20210330-8.4      | Main Repository (OSS)     | 
   | mail_server             | 20210330-8.4      | openSUSE-20250206-0       | 
   | mate                    | 20170319-5.8      | Main Repository (OSS)     | 
   | mate                    | 20170319-5.8      | openSUSE-20250206-0       | 
   | microos_apparmor        | 5.0-94.1          | Main Repository (OSS)     | 
   | microos_apparmor        | 5.0-94.1          | openSUSE-20250206-0       | 
   | microos_base            | 5.0-94.1          | Main Repository (OSS)     | 
   | microos_base            | 5.0-94.1          | openSUSE-20250206-0       | 
   | microos_base_microdnf   | 5.0-94.1          | Main Repository (OSS)     | 
   | microos_base_microdnf   | 5.0-94.1          | openSUSE-20250206-0       | 
   | microos_base_packagekit | 5.0-94.1          | Main Repository (OSS)     | 
   | microos_base_packagekit | 5.0-94.1          | openSUSE-20250206-0       | 
   | microos_base_zypper     | 5.0-94.1          | Main Repository (OSS)     | 
   | microos_base_zypper     | 5.0-94.1          | openSUSE-20250206-0       | 
   | microos_cloud           | 5.0-94.1          | Main Repository (OSS)     | 
   | microos_cloud           | 5.0-94.1          | openSUSE-20250206-0       | 
   | microos_cockpit         | 5.0-94.1          | Main Repository (OSS)     | 
   | microos_cockpit         | 5.0-94.1          | openSUSE-20250206-0       | 
   | microos_gnome_desktop   | 5.0-94.1          | Main Repository (OSS)     | 
   | microos_gnome_desktop   | 5.0-94.1          | openSUSE-20250206-0       | 
   | microos_hardware        | 5.0-94.1          | Main Repository (OSS)     | 
   | microos_hardware        | 5.0-94.1          | openSUSE-20250206-0       | 
   | microos_ima_evm         | 5.0-94.1          | Main Repository (OSS)     | 
   | microos_ima_evm         | 5.0-94.1          | openSUSE-20250206-0       | 
   | microos_kde_desktop     | 5.0-94.1          | Main Repository (OSS)     | 
   | microos_kde_desktop     | 5.0-94.1          | openSUSE-20250206-0       | 
   | microos_ra_agent        | 5.0-94.1          | Main Repository (OSS)     | 
   | microos_ra_agent        | 5.0-94.1          | openSUSE-20250206-0       | 
   | microos_ra_verifier     | 5.0-94.1          | Main Repository (OSS)     | 
   | microos_ra_verifier     | 5.0-94.1          | openSUSE-20250206-0       | 
   | microos_selinux         | 5.0-94.1          | Main Repository (OSS)     | 
   | microos_selinux         | 5.0-94.1          | openSUSE-20250206-0       | 
   | microos_sssd_ldap       | 5.0-94.1          | Main Repository (OSS)     | 
   | microos_sssd_ldap       | 5.0-94.1          | openSUSE-20250206-0       | 
i  | minimal_base            | 20200505-62.1     | Main Repository (OSS)     | 
i  | minimal_base            | 20200505-62.1     | openSUSE-20250206-0       | 
   | multimedia              | 20201106-4.2      | Main Repository (OSS)     | 
   | multimedia              | 20201106-4.2      | openSUSE-20250206-0       | 
   | network_admin           | 20170319-3.10     | Main Repository (OSS)     | 
   | network_admin           | 20170319-3.10     | openSUSE-20250206-0       | 
   | non_oss                 | 20170319-1.62     | Main Repository (NON-OSS) | 
   | office                  | 20170506-3.17     | Main Repository (OSS)     | 
   | office                  | 20170506-3.17     | openSUSE-20250206-0       | 
   | openSUSEway             | 0.16.5-1.2        | Main Repository (OSS)     | 
   | openSUSEway             | 0.16.5-1.2        | openSUSE-20250206-0       | 
   | print_server            | 20210330-8.4      | Main Repository (OSS)     | 
