Loading repository data...
Reading installed packages...
S  | Repository                             | Name                                       | Version                                      | Arch
i  | openSUSE-Tumbleweed-Oss                | attica-qt5-devel                           | 5.108.0-1.1                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | attr                                       | 2.5.1-1.25                                   | x86_64
i+ | openSUSE-Tumbleweed-Oss                | audacity                                   | 3.3.3-2.1                                    | x86_64
i  | openSUSE-Tumbleweed-Oss                | audacity-lang                              | 3.3.3-2.1                                    | noarch
i  | openSUSE-Tumbleweed-Oss                | audit                                      | 3.1.1-1.1                                    | x86_64
i  | openSUSE-Tumbleweed-Oss                | augeas                                     | 1.13.0-2.2                                   | x86_64
i  | openSUSE-Tumbleweed-Oss                | augeas-lenses                              | 1.13.0-2.2                                   | x86_64
i  | openSUSE-Tumbleweed-Oss                | autoconf                                   | 2.71-2.3                                     | noarch
i  | openSUSE-Tumbleweed-Oss                | autoconf-archive                           | 2023.02.20-1.3                               | noarch
i  | openSUSE-Tumbleweed-Oss                | autofs                                     | 5.1.8-5.4                                    | x86_64
i  | openSUSE-Tumbleweed-Oss                | automake                                   | 1.16.5-3.5                                   | noarch
i  | openSUSE-Tumbleweed-Oss                | autoyast2-installation                     | 4.6.2-1.1                                    | noarch
i  | openSUSE-Tumbleweed-Oss                | avahi                                      | 0.8-23.2                                     | x86_64
i  | openSUSE-Tumbleweed-Oss                | babeltrace                                 | 1.5.8-3.7                                    | x86_64
i  | openSUSE-Tumbleweed-Oss                | baloo5-devel                               | 5.108.0-1.1                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | baloo5-file                                | 5.108.0-1.1                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | baloo5-file-lang                           | 5.108.0-1.1                                  | noarch
i  | openSUSE-Tumbleweed-Oss                | baloo5-imports                             | 5.108.0-1.1                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | baloo5-kioslaves                           | 5.108.0-1.1                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | baloo5-kioslaves-lang                      | 5.108.0-1.1                                  | noarch
i  | openSUSE-Tumbleweed-Oss                | baloo5-tools                               | 5.108.0-1.1                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | baloo5-tools-lang                          | 5.108.0-1.1                                  | noarch
i  | openSUSE-Tumbleweed-Oss                | baloo5-widgets                             | 23.04.3-1.1                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | bash                                       | 5.2.15-8.4                                   | x86_64
i  | openSUSE-Tumbleweed-Oss                | bash-completion                            | 2.11-7.1                                     | noarch
i  | openSUSE-Tumbleweed-Oss                | bash-doc                                   | 5.2.15-8.4                                   | noarch
i  | openSUSE-Tumbleweed-Oss                | bash-sh                                    | 5.2.15-8.4                                   | noarch
i  | openSUSE-Tumbleweed-Oss                | bc                                         | 1.07.1-4.28                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | bin86                                      | 0.16.21-2.16                                 | x86_64
i  | openSUSE-Tumbleweed-Oss                | bind-utils                                 | 9.18.16-3.1                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | binutils                                   | 2.40-5.2                                     | x86_64
i  | openSUSE-Tumbleweed-Oss                | binutils-devel                             | 2.40-5.2                                     | x86_64
i  | openSUSE-Tumbleweed-Oss                | bison                                      | 3.8.2-3.3                                    | x86_64
i  | openSUSE-Tumbleweed-Oss                | bison-lang                                 | 3.8.2-3.3                                    | noarch
i  | openSUSE-Tumbleweed-Oss                | blog                                       | 2.27-1.1                                     | x86_64
i  | openSUSE-Tumbleweed-Oss                | bluedevil5                                 | 5.27.6-1.1                                   | x86_64
i  | openSUSE-Tumbleweed-Oss                | bluedevil5-lang                            | 5.27.6-1.1                                   | noarch
i  | openSUSE-Tumbleweed-Oss                | bluez                                      | 5.66-1.7                                     | x86_64
i  | openSUSE-Tumbleweed-Oss                | bluez-auto-enable-devices                  | 5.66-1.7                                     | noarch
i  | openSUSE-Tumbleweed-Oss                | bluez-cups                                 | 5.66-1.7                                     | x86_64
i  | openSUSE-Tumbleweed-Oss                | bluez-qt-devel                             | 5.108.0-1.1                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | bluez-qt-imports                           | 5.108.0-1.1                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | bluez-qt-udev                              | 5.108.0-1.1                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | bolt                                       | 0.9.5-1.4                                    | x86_64
i  | openSUSE-Tumbleweed-Oss                | boost-devel                                | 1.82.0-1.1                                   | noarch
i  | openSUSE-Tumbleweed-Oss                | boost-jam                                  | 1.82.0-1.1                                   | noarch
i  | openSUSE-Tumbleweed-Oss                | boost-license1_82_0                        | 1.82.0-1.3                                   | noarch
i  | openSUSE-Tumbleweed-Oss                | boost1_82_0-jam                            | 1.82.0-1.3                                   | x86_64
i  | openSUSE-Tumbleweed-Oss                | branding-openSUSE                          | 84.87.20230227-1.3                           | noarch
i  | openSUSE-Tumbleweed-Oss                | breeze                                     | 5.27.6-1.1                                   | x86_64
i  | openSUSE-Tumbleweed-Oss                | breeze5-cursors                            | 5.27.6-1.1                                   | noarch
i  | openSUSE-Tumbleweed-Oss                | breeze5-decoration                         | 5.27.6-1.1                                   | x86_64
i  | openSUSE-Tumbleweed-Oss                | breeze5-icons                              | 5.108.0-1.1                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | breeze5-style                              | 5.27.6-1.1                                   | x86_64
i  | openSUSE-Tumbleweed-Oss                | breeze5-style-lang                         | 5.27.6-1.1                                   | noarch
i  | openSUSE-Tumbleweed-Oss                | breeze5-wallpapers                         | 5.27.6-1.1                                   | noarch
i  | openSUSE-Tumbleweed-Oss                | brltty                                     | 6.5-3.1                                      | x86_64
i  | openSUSE-Tumbleweed-Oss                | brltty-driver-at-spi2                      | 6.5-3.1                                      | x86_64
i  | openSUSE-Tumbleweed-Oss                | brltty-driver-brlapi                       | 6.5-3.1                                      | x86_64
i  | openSUSE-Tumbleweed-Oss                | brltty-driver-speech-dispatcher            | 6.5-3.1                                      | x86_64
i  | openSUSE-Tumbleweed-Oss                | brltty-driver-xwindow                      | 6.5-3.1                                      | x86_64
i  | openSUSE-Tumbleweed-Oss                | bsdiff                                     | 4.3-6.1                                      | x86_64
i  | openSUSE-Tumbleweed-Oss                | btrfsmaintenance                           | 0.5-2.12                                     | noarch
i  | openSUSE-Tumbleweed-Oss                | btrfsprogs                                 | 6.3-2.2                                      | x86_64
i  | openSUSE-Tumbleweed-Oss                | btrfsprogs-bash-completion                 | 6.3-2.2                                      | x86_64
i  | openSUSE-Tumbleweed-Oss                | btrfsprogs-udev-rules                      | 6.3-2.2                                      | noarch
i  | openSUSE-Tumbleweed-Oss                | bubblewrap                                 | 0.8.0-1.2                                    | x86_64
i  | openSUSE-Tumbleweed-Oss                | busybox-static                             | 1.36.1-1.1                                   | x86_64
i  | openSUSE-Tumbleweed-Oss                | bzip2                                      | 1.0.8-5.5                                    | x86_64
i  | openSUSE-Tumbleweed-Oss                | c-ares-devel                               | 1.19.1-1.2                                   | x86_64
i  | openSUSE-Tumbleweed-Oss                | ca-certificates                            | 2+git20230406.2dae8b7-1.2                    | noarch
i  | openSUSE-Tumbleweed-Oss                | ca-certificates-mozilla                    | 2.60-3.1                                     | noarch
i  | openSUSE-Tumbleweed-Oss                | ca-certificates-steamtricks                | 1-1.16                                       | noarch
i  | openSUSE-Tumbleweed-Oss                | cabextract                                 | 1.11-1.3                                     | x86_64
i  | openSUSE-Tumbleweed-Oss                | cairo-devel                                | 1.17.8-1.2                                   | x86_64
i  | openSUSE-Tumbleweed-Oss                | calendarsupport                            | 23.04.3-1.1                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | calligra-extras-filemanagertemplates       | 3.2.1-7.18                                   | x86_64
i  | openSUSE-Tumbleweed-Oss                | canberra-gtk-play                          | 0.30-15.26                                   | x86_64
i  | openSUSE-Tumbleweed-Oss                | cantarell-fonts                            | 0.303.1-1.5                                  | noarch
